date,poids_kg
2026-04-17,"75,3"
2026-04-18,"75,6"
2026-04-19,"75,7"
2026-04-20,"75,9"
2026-04-21,"75,4"
2026-04-22,"74,7"
2026-04-25,"75,0"
2026-04-26,"75,1"
2026-04-27,"75,7"
2026-04-28,"74,8"
2026-04-29,"74,1"
2026-04-30,"73,8"
2026-05-01,"74,0"
2026-05-02,"74,4"
2026-05-03,"75,3"
2026-05-06,"74,0"
2026-05-07,"74,0"
2026-05-09,"74,6"
2026-05-10,"74,5"
2026-05-11,"74,2"
2026-05-12,"73,8"
2026-05-13,"73,6"
2026-05-14,"74,5"
2026-05-16,"74,2"
2026-05-17,"74,2"
2026-05-18,"73,8"
2026-05-19,"73,7"
2026-05-20,"73,9"
2026-05-21,"74,1"
2026-05-22,"74,0"
2026-05-23,"73,9"
